,masked EntityID,CPR $net_inc_YTD,CPR_Group,IndustryCode,AuditMethod,StatementType,Cash,MarketableSec,AcctsRecTrade,BadDebtReserve,NetTradeAcctsRec,AcctsRecOther,RawMaterialsInv,WIPInv,FinGoodsInv,OtherInv,TotalInventory,IncTaxReceivable,CostsInExcBill,OtherOperAssets,NonOpCurAssets,LifoReserve,TotalCurAssets,DefIncTaxRec,ConstInProgress,Land,FixedAssets,AccumDeprec,NetFixedAssets,LongTermAcctsRec,LongTermInvest,OpNonCurAssets,LongTermPrepaids,NonOpNonCurAsts,Intangibles,AccumAmort,NetIntangibles,TotalNonCurAsts,TotalAssets,Overdrafts,STLoansPayable,CPLTD,CPSubDebt,AcctsPayTrade,AcctsPayOther,AccruedLiabs,InterestPayable,DividendsPayable,TotalAccrdLiabs,IncTaxesPayable,OtherOperLiabs,BillInexcCosts,NonOpCurLiabs,OffBSCurLiabs,TotalCurLiabs,LongTermDebt,CapLeaseOblig,DefIncTaxPayable,NonOpNonCurLiabs,OpNonCurLiabs,DueToRelParty,OffBSNonCurLiabs,SubDebtLiabs,MinorityIntLiabs,TotalNonCurLiabs,TotalLiabs,SubDebtEquity,MinIntEquity,PreferredStock,CommonStock,OtherEquity,TreasuryStock,CurrencyTranslat,RetainedEarnings,AccumulatedOCI,TotalNetWorth,TotLiabsNetWorth,GrossSales,SalesReturns,NetSales,CostOfGoodsSold,COGSDepreciation,TotalCOGS,GrossProfit,OperExpenses,SellingAndGenExp,OfficersComp,LeaseRentExp,DeprecExpense,AmortExpense,ESOPDividends,TotalOpExpenses,NetOpProfit,InterestIncome,InterestExpense,NonCashIncome,NonCashExpense,OtherIncome,IncomeFromSubs,GainLossAstSale,OtherExpense,TotalOtherIncExp,ProfitBeforeTax,IncomeTaxExp,NetIncomeTaxExp,MinorityIntExp,ProfitB4ExtItems,AfterTaxIncome,AfterTaxExpense,NetProfit,OtherCompIncome,CompIncome,DividendsStock,DividendsCommon,DividendsPref,AdjToRE,ConversionRate,QuickRatio,CurrentRatio,Year,TotalAssetsGrowth,TotalLiabsGrowth,NetWorthGrowth,NetSalesGrowth,OpProfitGrowth,NetProfitGrowth,AdjustedEBITDAGrowth,GrossProfitGrowth,SustainableGrow,IndustryType
0,131294,,,332618,Compiled,Annual,365.0,0.0,2620.0,0.0,2620.0,0,0.0,0.0,3836.0,0.0,3836.0,0.0,0.0,0.0,0.0,0.0,6821.0,0.0,0.0,47.0,7488.0,6938.0,550.0,0,165.0,50.0,27.0,0.0,0.0,0.0,0.0,792.0,7613.0,0.0,2175.0,315.0,0,1241.0,0.0,49.0,0.0,0.0,49.0,47.0,11.0,0.0,0.0,0.0,3838.0,912.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,912.0,4750.0,0,0.0,0,936.0,0.0,0.0,0.0,1927.0,0.0,2863.0,7613.0,13900.0,0.0,13900.0,10922.0,112.0,11034.0,2866.0,1263.0,1241.0,0.0,0.0,7.0,0.0,0.0,2511.0,355.0,0.0,553.0,0.0,0.0,0.0,0.0,1482.0,0.0,929.0,1284.0,42.0,42.0,0.0,1242.0,0.0,0,1242.0,0.0,1242.0,0,0.0,0,0.0,1.0,0.777749,1.7772279999999998,2007,-2.447463,-23.176451999999998,76.619371,-2.993928,,,4640.0,6.424062,76.619371,Manufacturing
1,24997,1338.6019671,BUSINESS BANKING,332810,Compiled,Annual,6.0,0.0,798.0,10.0,788.0,0,0.0,0.0,0.0,571.0,571.0,0.0,0.0,0.0,0.0,0.0,1365.0,249.0,0.0,0.0,3919.0,3541.0,378.0,0,1.0,84.0,25.0,0.0,0.0,0.0,0.0,737.0,2102.0,0.0,200.0,115.0,0,428.0,0.0,65.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,808.0,256.0,0.0,0.0,0,239.0,0,0.0,0.0,0.0,495.0,1303.0,0,0.0,0,32.0,0.0,365.0,0.0,1132.0,0.0,799.0,2102.0,6196.0,0.0,6196.0,4537.0,105.0,4642.0,1554.0,1061.0,0.0,202.0,0.0,0.0,0.0,0.0,1263.0,291.0,0.0,56.0,0.0,0.0,0.0,0.0,-2.0,0.0,-58.0,233.0,23.0,23.0,0.0,210.0,0.0,0,210.0,0.0,210.0,0,0.0,0,0.0,1.0,0.9826729999999999,1.689356,2008,6.161616,-6.326384,35.65365,9.858156,3.6190480000000003,180.0,182.85714299999998,17.727273,35.65365,Manufacturing
2,31667,0.0,BUSINESS BANKING,311812,Reviewed,Annual,209.0,0.0,769.0,0.0,769.0,0,0.0,0.0,1031.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,2009.0,28.0,0.0,0.0,2723.0,1876.0,847.0,0,0.0,2.0,26.0,1.0,0.0,0.0,0.0,904.0,2913.0,0.0,0.0,96.0,0,858.0,0.0,28.0,0.0,0.0,28.0,0.0,324.0,0.0,0.0,0.0,1306.0,117.0,0.0,160.0,0,0.0,0,0.0,0.0,0.0,277.0,1583.0,0,0.0,0,1.0,0.0,155.0,0.0,1484.0,0.0,1330.0,2913.0,13058.0,0.0,13058.0,8813.0,191.0,9004.0,4054.0,2078.0,0.0,1833.0,2.0,3.0,0.0,0.0,3916.0,138.0,3.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,-29.0,109.0,24.0,24.0,0.0,85.0,0.0,0,85.0,0.0,85.0,0,0.0,0,0.0,1.0,0.748851,1.5382850000000001,2009,-5.329867,-13.591703,6.827309,11.683202,-0.634921,-71.283784,-40.608228999999994,43.606093,6.827309,Manufacturing
3,146177,,,332999,Unqualif'd,Annual,16127.0,0.0,43870.0,3388.0,40482.0,0,42420.0,12170.0,8470.0,0.0,63060.0,3040.0,0.0,0.0,0.0,9014.0,122709.0,1936.0,2696.0,1913.0,139208.0,113532.0,25676.0,0,6239.0,1743.0,2406.0,0.0,156.0,0.0,156.0,38156.0,160865.0,0.0,40532.0,1000.0,0,27184.0,0.0,11277.0,0.0,0.0,11277.0,0.0,0.0,0.0,0.0,0.0,79993.0,501.0,0.0,0.0,0,11721.0,0,0.0,0.0,0.0,12222.0,92215.0,0,0.0,0,89.0,3343.0,41965.0,0.0,121385.0,-14202.0,68650.0,160865.0,344898.0,0.0,344898.0,294087.0,0.0,294087.0,50811.0,0.0,32610.0,0.0,1575.0,5437.0,0.0,0.0,39622.0,11189.0,0.0,1048.0,0.0,0.0,332.0,0.0,0.0,717.0,-1433.0,9756.0,4232.0,4232.0,0.0,5524.0,0.0,0,5524.0,3252.0,8776.0,0,1000.0,0,1952.0,1.0,0.707674,1.5339969999999998,2017,2.767468,-3.600289,12.773926,11.291525,0.122379,-22.54627,7.500323,6.230269,7.064722,Manufacturing
4,891587,,,332618,Co.Prep'd,Annual,1.0,0.0,5807.0,0.0,5807.0,0,0.0,0.0,32010.0,0.0,32010.0,0.0,0.0,0.0,0.0,0.0,37818.0,0.0,117.0,3491.0,56950.0,16802.0,40148.0,0,0.0,1543.0,0.0,0.0,235.0,0.0,235.0,41926.0,79744.0,0.0,19585.0,0.0,0,2261.0,0.0,1198.0,0.0,0.0,1198.0,0.0,62910.0,0.0,0.0,0.0,85954.0,0.0,0.0,0.0,0,25181.0,0,0.0,0.0,0.0,25181.0,111135.0,0,0.0,0,0.0,0.0,0.0,0.0,-31391.0,0.0,-31391.0,79744.0,428080.0,0.0,428080.0,414559.0,0.0,414559.0,13521.0,0.0,1406.0,0.0,0.0,5774.0,0.0,0.0,7180.0,6341.0,0.0,4885.0,0.0,0.0,0.0,0.0,0.0,0.0,-4885.0,1456.0,0.0,0.0,0.0,1456.0,0.0,0,1456.0,0.0,1456.0,0,0.0,0,0.0,1.0,0.067571,0.43998000000000004,2018,-27.113190999999997,-21.876208,,14.285409,,,,1954.863222,-4.388783999999999,Manufacturing
5,32060,,,236220,Reviewed,Annual,110.0,0.0,76.0,0.0,76.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,10.0,293.0,165.0,128.0,0,0.0,0.0,48.0,0.0,45.0,0.0,45.0,221.0,407.0,0.0,0.0,19.0,0,30.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,55.0,27.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,27.0,82.0,0,0.0,0,0.0,0.0,60.0,0.0,385.0,0.0,325.0,407.0,939.0,0.0,939.0,655.0,25.0,680.0,259.0,0.0,168.0,0.0,30.0,0.0,0.0,0.0,198.0,61.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,57.0,0.0,0.0,0.0,57.0,0.0,0,57.0,0.0,57.0,0,43.0,0,0.0,1.0,3.381818,3.381818,2009,-5.787037000000001,-32.231405,4.501608,-16.459075,-0.551471,-57.14285699999999,-43.79085,-36.206897,4.654153,Construction
6,61995,,,332710,Reviewed,Annual,24.0,9.0,190.0,4.0,186.0,0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,1465.0,870.0,595.0,0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,603.0,908.0,0.0,43.0,160.0,0,48.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,262.0,196.0,27.0,0.0,0,24.0,0,0.0,0.0,0.0,220.0,482.0,0,0.0,0,1.0,0.0,0.0,0.0,421.0,4.0,426.0,908.0,1590.0,0.0,1590.0,914.0,146.0,1060.0,530.0,250.0,0.0,173.0,0.0,12.0,0.0,0.0,435.0,95.0,0.0,45.0,0.0,0.0,12.0,0.0,0.0,0.0,-33.0,62.0,0.0,0.0,0.0,62.0,0.0,0,62.0,4.0,66.0,0,16.0,0,0.0,1.0,0.8358780000000001,1.1641219999999999,1998,-11.154599000000001,-25.386997,13.297872,7.0707070000000005,0.1875,87.878788,7.659574,-9.090909,12.173587,Manufacturing
7,37141,115.2613499,BUSINESS BANKING,236115,Tax Return,Annual,5.0,0.0,47.0,0.0,47.0,0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,125.0,81.0,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,106.0,0.0,78.0,0.0,0,34.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,119.0,16.0,0.0,0.0,0,0.0,0,0.0,63.0,0.0,79.0,198.0,0,0.0,0,1.0,0.0,0.0,0.0,-93.0,0.0,-92.0,106.0,371.0,0.0,371.0,279.0,0.0,279.0,92.0,87.0,0.0,50.0,0.0,7.0,0.0,0.0,144.0,-52.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-59.0,0.0,0.0,0.0,-59.0,0.0,0,-59.0,0.0,-59.0,0,0.0,0,-2.0,1.0,0.436975,0.521008,2007,-6.1946900000000005,36.551724,,-36.363636,,,,-21.367521,178.787879,Construction
8,125,,,332212,Reviewed,Annual,425.80699999999996,0.0,626.701,0.0,626.701,0,0.0,0.0,386.269,0.0,386.269,0.0,0.0,0.0,0.0,0.0,1438.777,0.0,0.0,677.345,2484.757,1523.479,961.278,0,0.0,10.249,23.528000000000002,0.0,0.0,0.0,0.0,995.055,2433.8320000000003,0.0,0.0,104.191,0,118.214,0.0,234.937,0.0,0.0,234.937,0.0,81.476,0.0,0.0,0.0,538.818,281.369,0.0,0.0,0,0.0,0,0.0,0.0,0.0,281.369,820.187,0,0.0,0,27.0,0.0,312.75,0.0,1899.395,0.0,1613.645,2433.8320000000003,4992.3640000000005,0.0,4992.3640000000005,2896.8559999999998,0.0,2896.8559999999998,2095.508,148.76,626.0219999999999,181.56900000000002,0.0,181.542,0.0,0.0,1137.893,957.615,8.34,50.618,0.0,0.0,26.877,0.0,0.0,0.0,-15.401,942.2139999999999,0.0,0.0,0.0,942.2139999999999,0.0,0,942.2139999999999,0.0,942.2139999999999,0,700.0,0,0.0,1.0,1.9533650000000002,2.6702470000000003,1996,2.012988,-19.143611,17.661406,2.359468,0.051936,7.394274,4.691153,7.735431,17.661406,Manufacturing
9,1724,,,236115,Tax Return,Annual,168.0,0.0,166.0,0.0,166.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0,0.0,0.0,0.0,1428.0,0.0,0.0,0.0,129.0,90.0,39.0,0,0.0,0.0,0.0,0.0,89.0,0.0,89.0,128.0,1556.0,0.0,510.0,0.0,0,236.0,0.0,77.0,0.0,0.0,77.0,0.0,358.0,2.0,0.0,0.0,1183.0,0.0,0.0,86.0,0,0.0,0,0.0,0.0,0.0,86.0,1269.0,0,0.0,0,1.0,0.0,0.0,0.0,286.0,0.0,287.0,1556.0,2342.0,0.0,2342.0,1883.0,0.0,1883.0,459.0,243.0,0.0,119.0,0.0,43.0,0.0,0.0,405.0,54.0,0.0,20.0,0.0,0.0,204.0,0.0,0.0,186.0,-2.0,52.0,21.0,21.0,0.0,31.0,0.0,0,31.0,0.0,31.0,0,0.0,0,0.0,1.0,0.282333,1.207101,2003,4.429530000000001,2.836305,12.109375,-3.581721,,,321.73913,13.895782,17.317249,Construction
10,217,,,332212,Unqualif'd,Annual,325.863,352.469,2215.833,125.0,2090.833,0,540.226,0.0,207.817,0.0,748.043,0.0,0.0,0.0,0.0,0.0,3517.208,0.0,0.0,87.096,6408.838000000001,2400.181,4008.657,0,0.0,751.908,78.44800000000001,0.0,1380.356,0.0,1380.356,6219.369000000001,9736.577,0.0,53.478,491.04900000000004,0,1439.434,0.0,334.20300000000003,0.0,0.0,334.20300000000003,0.0,0.0,0.0,0.0,0.0,2318.1639999999998,2696.315,0.0,163.0,0,0.0,0,0.0,0.0,0.0,2859.315,5177.479,0,0.0,0,0.08900000000000001,0.0,0.0,0.0,4559.009,0.0,4559.098,9736.577,14765.301000000001,0.0,14765.301000000001,10999.715,0.0,10999.715,3765.586,0.0,3065.877,0.0,0.0,836.8330000000001,0.0,0.0,3902.71,-137.124,44.006,187.44,0.0,0.0,0.0,0.0,189.02700000000002,0.0,45.593,-91.531,102.556,102.556,0.0,-194.08700000000002,0.0,0,-194.08700000000002,0.0,-194.08700000000002,0,0.0,0,0.0,1.0,1.194551,1.517239,1997,20.964701,57.285038,-4.166774,28.070805,,,-34.614641,1.2743520000000002,-4.979242,Manufacturing
11,37084,136.0626495,BUSINESS BANKING,332116,Reviewed,Annual,17.0,0.0,205.0,3.0,202.0,0,22.0,43.0,11.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,18.0,686.0,578.0,108.0,0,0.0,4.0,4.0,4.0,88.0,0.0,88.0,208.0,503.0,0.0,0.0,49.0,0,124.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,182.0,64.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,65.0,247.0,0,0.0,0,0.0,0.0,0.0,0.0,256.0,0.0,256.0,503.0,1333.0,0.0,1333.0,932.0,11.0,943.0,390.0,143.0,0.0,186.0,0.0,0.0,1.0,0.0,330.0,60.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,61.0,0.0,0,61.0,0.0,61.0,0,113.0,0,0.0,1.0,1.2032969999999998,1.6208790000000002,2012,-13.722126999999999,-10.181818,-16.883117000000002,-6.652661,-0.548872,-55.147059,-51.677852,-11.161731,-20.342370000000003,Manufacturing
13,1027,585.9720518,BUSINESS BANKING,332510,Compiled,Annual,86.0,0.0,246.0,10.0,236.0,0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,380.0,237.0,143.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,145.0,501.0,0.0,26.0,0.0,0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,185.0,32.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,32.0,217.0,0,0.0,0,0.0,0.0,0.0,0.0,284.0,0.0,284.0,501.0,1384.0,0.0,1384.0,1129.0,0.0,1129.0,255.0,61.0,0.0,74.0,36.0,48.0,0.0,0.0,219.0,36.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,34.0,0.0,0.0,0.0,34.0,0.0,0,34.0,0.0,34.0,0,50.0,0,0.0,1.0,1.740541,1.9243240000000001,2003,2.244898,14.210526000000002,-5.3333330000000005,1.169591,-0.307692,-29.166666999999997,-16.831682999999998,-17.475728,-5.3333330000000005,Manufacturing
14,323133,,,236115,Unqualif'd,Annual,176.0,0.0,38.0,0.0,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,1507.0,1193.0,14082.0,1923.0,12159.0,0,0.0,117.0,805.0,0.0,318.0,0.0,318.0,13399.0,13613.0,0.0,0.0,1846.0,0,499.0,0.0,0.0,76.0,0.0,76.0,0.0,47.0,0.0,0.0,0.0,2468.0,3290.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3290.0,5758.0,0,0.0,0,0.0,0.0,0.0,0.0,7855.0,0.0,7855.0,13613.0,1473.0,0.0,1473.0,0.0,0.0,0.0,1473.0,1578.0,0.0,0.0,0.0,318.0,0.0,0.0,1896.0,-423.0,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,-484.0,0.0,0.0,0.0,-484.0,0.0,0,-484.0,0.0,-484.0,0,0.0,0,6644.0,1.0,0.08671,0.08671,2004,183.427025,85.263835,363.421829,137.198068,,,,137.198068,-5.901521,Construction
15,83627,,,311999,Unqualif'd,Annual,103000.0,0.0,931000.0,6000.0,925000.0,0,564000.0,97000.0,1122000.0,87000.0,1870000.0,0.0,0.0,0.0,0.0,0.0,2898000.0,0.0,159000.0,202000.0,5995000.0,3254000.0,2741000.0,0,0.0,274000.0,322000.0,0.0,5207000.0,0.0,5207000.0,8544000.0,11442000.0,0.0,40000.0,38000.0,0,1190000.0,0.0,957000.0,0.0,0.0,957000.0,0.0,0.0,0.0,0.0,0.0,2225000.0,2663000.0,0.0,0.0,0,1822000.0,0,0.0,196000.0,0.0,4681000.0,6906000.0,0,96000.0,0,2840000.0,902000.0,3768000.0,0.0,4765000.0,-299000.0,4536000.0,11442000.0,13263000.0,0.0,13263000.0,10436000.0,0.0,10436000.0,2827000.0,0.0,1617000.0,0.0,0.0,372000.0,9000.0,0.0,1998000.0,829000.0,0.0,204000.0,0.0,0.0,45000.0,0.0,0.0,0.0,-159000.0,670000.0,196000.0,196000.0,6000.0,468000.0,0.0,0,468000.0,-213000.0,255000.0,0,392000.0,0,0.0,1.0,0.46202200000000004,1.3024719999999999,2012,0.289245,3.074627,-3.6738160000000004,7.802975,-0.408702,-42.717258,-32.136848,-2.952283,-5.813205,Manufacturing
16,85248,33023.6564973,COMMERCIAL BANKING,332812,Reviewed,Annual,7942.0,0.0,4216.0,0.0,4216.0,0,0.0,0.0,2709.0,0.0,2709.0,0.0,0.0,0.0,0.0,0.0,14867.0,0.0,0.0,0.0,3581.0,2981.0,600.0,0,1492.0,3.0,0.0,0.0,879.0,0.0,879.0,2974.0,17841.0,0.0,0.0,0.0,0,1064.0,0.0,435.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,1499.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1499.0,0,0.0,0,20.0,0.0,0.0,0.0,16322.0,0.0,16342.0,17841.0,18102.0,0.0,18102.0,7623.0,0.0,7623.0,10479.0,6782.0,0.0,124.0,89.0,173.0,13.0,0.0,7181.0,3298.0,21.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,28.0,3326.0,0.0,0.0,0.0,3326.0,0.0,0,3326.0,0.0,3326.0,0,1688.0,0,0.0,1.0,8.11074,9.917945,2017,11.715717,18.404423,11.139826,3.469563,0.46969700000000003,89.299943,42.786885,6.580553,11.19899,Manufacturing
17,4224,277.7284669,BUSINESS BANKING,311812,Reviewed,Annual,759.0,0.0,1103.0,0.0,1103.0,0,21.0,0.0,752.0,0.0,773.0,0.0,0.0,0.0,0.0,0.0,2635.0,0.0,0.0,148.0,7208.0,6311.0,897.0,0,139.0,85.0,3.0,0.0,448.0,0.0,448.0,1572.0,4207.0,0.0,0.0,116.0,0,99.0,0.0,266.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,481.0,199.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,199.0,680.0,0,0.0,0,0.0,12.0,991.0,0.0,4506.0,0.0,3527.0,4207.0,9846.0,0.0,9846.0,3444.0,122.0,3566.0,6280.0,134.0,2423.0,0.0,0.0,48.0,0.0,0.0,2605.0,3675.0,2.0,25.0,0.0,0.0,44.0,0.0,1.0,0.0,22.0,3697.0,0.0,0.0,0.0,3697.0,0.0,0,3697.0,0.0,3697.0,0,3496.0,0,0.0,1.0,3.8711019999999996,5.4781699999999995,2010,2.310311,-13.486004999999999,6.043295,1.057169,0.0503,4.760555,3.0278669999999996,6.314541999999999,6.194227,Manufacturing
18,198683,,,332618,Co.Prep'd,Rolling Stmt,710.0,0.0,18371.0,0.0,18371.0,0,0.0,0.0,38919.0,0.0,38919.0,1672.0,0.0,0.0,0.0,0.0,59672.0,0.0,0.0,249.0,24291.0,6830.0,17461.0,0,0.0,3020.0,0.0,0.0,17044.0,0.0,17044.0,37525.0,97197.0,0.0,55.0,5500.0,0,8574.0,0.0,0.0,180.0,0.0,180.0,0.0,2022.0,0.0,0.0,0.0,16331.0,43656.0,0.0,5856.0,0,5726.0,0,0.0,0.0,0.0,55238.0,71569.0,0,0.0,0,0.0,19998.0,0.0,0.0,7251.0,-1621.0,25628.0,97197.0,118273.0,0.0,118273.0,91096.0,0.0,91096.0,27177.0,12060.0,0.0,0.0,2248.0,2387.0,863.0,0.0,17558.0,9619.0,0.0,2766.0,0.0,0.0,-9.0,0.0,0.0,765.0,-3540.0,6079.0,2412.0,2412.0,0.0,3667.0,0.0,0,3667.0,0.0,3667.0,0,0.0,0,-10060.0,1.0,1.168391,3.6539099999999998,2013,-15.00787,-24.320066,29.486660999999998,7.477917999999999,2.054621,-41.309219,-18.858764,-7.561224,54.387724,Manufacturing
19,31207,660.9363184,BUSINESS BANKING,332999,Tax Return,Annual,68.0,0.0,167.0,0.0,167.0,0,0.0,0.0,171.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,531.0,423.0,108.0,0,0.0,0.0,0.0,0.0,249.0,4.0,245.0,353.0,759.0,0.0,0.0,225.0,0,126.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,433.0,8.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8.0,441.0,0,0.0,0,200.0,0.0,100.0,0.0,218.0,0.0,318.0,759.0,2048.0,12.0,2036.0,1414.0,1.0,1415.0,621.0,269.0,0.0,193.0,162.0,27.0,0.0,0.0,651.0,-30.0,1.0,8.0,0.0,0.0,9.0,0.0,-7.0,0.0,-5.0,-35.0,0.0,0.0,0.0,-35.0,0.0,0,-35.0,0.0,-35.0,0,0.0,0,0.0,1.0,0.542725,0.937644,2013,-4.528302,-0.226244,-9.915014,12.424075,,,,28.041237,-24.510539,Manufacturing
20,39532,1075.5227353,BUSINESS BANKING,311920,Tax Return,Annual,0.0,0.0,186.0,0.0,186.0,0,0.0,0.0,103.0,0.0,103.0,5.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,1270.0,1230.0,40.0,0,66.0,0.0,17.0,0.0,0.0,0.0,0.0,123.0,417.0,0.0,0.0,0.0,0,93.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,95.0,130.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,130.0,225.0,0,0.0,0,10.0,0.0,0.0,0.0,182.0,0.0,192.0,417.0,2332.0,0.0,2332.0,1413.0,0.0,1413.0,919.0,600.0,0.0,285.0,6.0,23.0,0.0,0.0,914.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,0,0.0,0,0.0,1.0,1.9578950000000002,3.094737,2009,-7.947019999999999,-14.122137,0.52356,-1.353638,-0.28571399999999997,,133.333333,-0.43336899999999995,0.52356,Manufacturing
21,2151,,,236115,Compiled,Annual,52.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1164.0,0.0,1228.0,32.0,1196.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,1248.0,0.0,0.0,5.0,0,1.0,0.0,20.0,0.0,0.0,20.0,0.0,846.0,0.0,0.0,0.0,872.0,5.0,0.0,0.0,0,54.0,0,0.0,0.0,0.0,59.0,931.0,0,0.0,0,1.0,48.0,0.0,0.0,268.0,0.0,317.0,1248.0,1971.0,0.0,1971.0,1625.0,0.0,1625.0,346.0,65.0,0.0,100.0,0.0,14.0,0.0,0.0,179.0,167.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,172.0,0.0,0.0,0.0,172.0,0.0,0,172.0,0.0,172.0,0,0.0,0,-1.0,1.0,0.059633000000000005,0.059633000000000005,2002,105.263158,101.515152,117.12328799999999,-7.20339,1.7833330000000003,391.428571,154.929577,72.139303,118.62069,Construction
22,1003,,,311811,Reviewed,Annual,6.218,0.0,1.999,0.0,1.999,0,0.0,0.0,9.296,0.0,9.296,0.0,0.0,0.0,0.0,0.0,17.512999999999998,0.0,0.0,0.0,56.631,53.538999999999994,3.092,0,0.0,72.22,0.0,0.0,0.0,0.0,0.0,75.312,92.825,0.0,0.0,11.0,0,15.255999999999998,0.0,12.238,0.0,0.0,12.238,0.0,10.924000000000001,0.0,0.0,0.0,49.418,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,49.418,0,0.0,0,1.0,0.0,0.0,0.0,42.407,0.0,43.407,92.825,1003.784,0.0,1003.784,637.784,0.0,637.784,366.0,141.077,0.0,62.4,100.947,18.97,0.0,0.0,323.394,42.606,0.151,2.6310000000000002,0.0,0.0,2.281,0.0,0.0,0.0,-0.19899999999999998,42.407,0.0,0.0,0.0,42.407,0.0,0,42.407,0.0,42.407,0,16.727,0,0.0,1.0,0.166275,0.354385,1997,23.072538,-14.347615,144.863767,-4.217439,2.691068,140.579792,164.592644,1.7384490000000001,144.863767,Manufacturing
23,3041,,,332721,Tax Return,Annual,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1896.0,1784.0,112.0,0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,183.0,217.0,0.0,0.0,136.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,136.0,0,0.0,0,2.0,0.0,0.0,0.0,79.0,0.0,81.0,217.0,1581.0,5.0,1576.0,1258.0,0.0,1258.0,318.0,296.0,0.0,108.0,48.0,14.0,0.0,0.0,466.0,-148.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-150.0,0.0,0.0,0.0,-150.0,0.0,0,-150.0,0.0,-150.0,0,0.0,0,0.0,1.0,0.205882,0.25,2010,-11.788618,806.666667,-64.93506500000001,-38.557505,,,,-57.824934,-64.93506500000001,Manufacturing
